AccountID,total_transactions,total_spend,avg_spend,max_spend,unique_locations,unique_devices,unique_merchants,LastTransactionDate,InactiveDays
AC00001,2,260.76,130.38,212.97,2,2,2,2023-11-14 16:56:34,47
AC00002,7,2056.21,293.7442857142857,516.47,7,7,6,2023-12-21 17:00:50,10
AC00003,5,1266.3400000000001,253.26800000000003,416.62,5,5,5,2023-10-02 18:57:19,90
AC00004,9,2180.08,242.2311111111111,642.54,9,9,9,2024-01-01 16:08:49,-1
AC00005,9,3131.77,347.97444444444443,680.76,9,9,9,2023-12-04 18:01:53,27
AC00006,4,1017.72,254.43,611.15,3,4,4,2023-10-05 16:46:31,87
AC00007,5,1495.3799999999999,299.07599999999996,637.75,5,5,5,2023-11-27 17:34:33,34
AC00008,1,76.16,76.16,76.16,1,1,1,2023-11-21 16:45:29,40
AC00009,5,984.08,196.816,425.18,5,4,5,2023-12-25 17:19:08,6
AC00010,7,2768.67,395.5242857142857,1086.6,7,7,7,2023-11-30 16:52:42,31
AC00011,7,2438.26,348.3228571428572,733.29,5,7,6,2023-12-20 17:15:14,11
AC00012,6,2067.78,344.63000000000005,927.45,6,6,6,2023-12-26 16:08:51,5
AC00013,8,1631.28,203.91,427.69,7,8,8,2023-12-27 16:48:30,4
AC00014,9,3134.2799999999997,348.25333333333333,719.76,9,9,8,2024-01-01 16:17:13,-1
AC00015,4,1148.74,287.185,774.48,4,4,4,2023-11-06 16:28:15,55
AC00016,6,2271.9700000000003,378.6616666666667,1105.88,6,6,6,2023-10-16 17:43:00,76
AC00017,5,1133.45,226.69,492.84,5,5,5,2023-11-27 17:39:39,34
AC00018,3,1658.6699999999998,552.89,1228.81,3,3,3,2023-08-11 16:18:46,142
AC00019,4,948.19,237.0475,489.31,4,4,4,2023-07-10 18:16:08,174
AC00020,9,3788.01,420.89000000000004,881.1,8,9,9,2023-11-13 16:46:06,48
AC00021,8,4263.34,532.9175,1142.83,8,8,8,2023-12-08 16:36:30,23
AC00022,4,775.6800000000001,193.92000000000002,514.33,4,4,4,2023-08-24 16:01:40,129
AC00023,6,1251.74,208.62333333333333,422.9,5,6,6,2023-09-18 16:04:06,104
AC00024,5,1426.94,285.38800000000003,820.46,5,5,5,2023-10-30 16:36:24,62
